,Unnamed: 0,Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Predicted_25%_dis,Predicted_50%_dis,Predicted_75%_dis,Actual_Ideal,Predicted_Ideal_25%,Predicted_Ideal_50%,Predicted_Ideal_75%,Predicted_Ideal_100%
0,0,2023-10-03 09:15:00,406.45,406.45,403.6,405.5,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,405.5,405.5,405.7,406.5,405.0,-0.8999999999999773,-4.4829999999999846,-1.120749999999996,-2.2414999999999923,-3.3622499999999884,404.1,403.87925,402.7585,401.63775000000004,400.517
1,1,2023-10-03 09:20:00,405.4,405.85,404.25,404.95,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,404.95,404.95,405.7,406.5,404.6,-0.5,-4.903999999999983,-1.2259999999999958,-2.4519999999999915,-3.677999999999988,404.1,403.374,402.148,400.922,399.696
2,2,2023-10-03 09:25:00,404.95,406.2,404.75,406.15,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,406.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2023-10-03 09:30:00,406.2,407.3,405.5,405.85,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,405.85,405.85,406.5,407.0,405.0,-0.8999999999999773,-3.866999999999984,-0.966749999999996,-1.933499999999992,-2.900249999999988,404.1,404.03325,403.0665,402.09975000000003,401.13300000000004
4,4,2023-10-03 09:35:00,405.8,407.0,405.65,406.85,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,406.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2023-10-03 09:40:00,406.75,408.0,406.25,408.0,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2023-10-03 09:45:00,408.0,408.1,406.65,406.8,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,406.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2023-10-03 09:50:00,406.75,406.9,405.85,405.85,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,405.85,405.85,406.5,407.0,405.0,-0.8999999999999773,-3.8099999999999854,-0.9524999999999963,-1.9049999999999927,-2.8574999999999893,404.1,404.0475,403.095,402.1425,401.19
8,8,2023-10-03 09:55:00,405.95,406.7,405.7,406.25,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,406.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,2023-10-03 10:00:00,406.25,406.55,405.3,405.55,407.0,406.5,405.7,404.9,403.5,404.25,404.6,405.0,405.75,408.0,0.0,405.55,405.55,405.7,406.5,405.0,-0.8999999999999773,-3.8099999999999854,-0.9524999999999963,-1.9049999999999927,-2.8574999999999893,404.1,404.0475,403.095,402.1425,401.19
